267	1394
267	483
267	1051
904	1479
904	919
904	1045
904	1330
904	1108
904	995
904	963
904	1000
904	1192
904	1067
904	1270
904	1437
904	1037
903	855
903	1008
982	1429
982	952
982	892
982	1479
982	956
982	1306
982	810
982	1437
982	1112
982	1051
982	826
982	1478
982	979
982	1255
1167	963
1167	802
1167	842
1167	1408
1167	862
1167	1437
708	374
708	508
708	99
708	483
968	1063
968	297
968	756
968	919
968	936
968	862
968	898
968	1184
968	1250
968	539
968	1360
968	119
1223	878
1223	782
1223	1245
1223	323
1223	1463
1223	1277
1223	1429
1223	1478
1223	1325
1223	798
1223	1134
1223	1051
1223	490
1223	963
1223	1270
1223	1063
1223	1250
1223	944
1223	1179
1223	936
1223	967
1223	1330
1223	1461
1223	892
1223	932
1223	1041
1223	1086
1223	1112
1223	1337
1223	1152
1223	1191
1223	1435
1223	835
1223	1390
1223	1222
1223	1413
1223	1418
1223	818
1223	756
1223	941
1223	1013
1223	1217
1223	1437
1223	729
1223	150
1223	119
